"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "CSS", "PHP", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\partials\navbar.ejs", "HTML", 0, 45, 0, 0, 0, 0, 0, 0, 13, 17, 75
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\account.ejs", "HTML", 0, 231, 0, 0, 0, 0, 0, 0, 14, 57, 302
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\cart.ejs", "HTML", 0, 149, 0, 0, 0, 0, 0, 0, 18, 39, 206
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\changepassword.ejs", "HTML", 0, 66, 0, 0, 0, 0, 0, 0, 0, 11, 77
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\checkout.ejs", "HTML", 0, 496, 0, 0, 0, 0, 0, 0, 6, 100, 602
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\confirmation.ejs", "HTML", 0, 101, 0, 0, 0, 0, 0, 0, 1, 19, 121
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\edituser.ejs", "HTML", 0, 38, 0, 0, 0, 0, 0, 0, 1, 17, 56
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\home.ejs", "HTML", 0, 256, 0, 0, 0, 0, 0, 0, 24, 49, 329
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\login.ejs", "HTML", 0, 202, 0, 0, 0, 0, 0, 0, 36, 36, 274
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\products.ejs", "HTML", 0, 295, 0, 0, 0, 0, 0, 0, 21, 45, 361
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\signup.ejs", "HTML", 0, 174, 0, 0, 0, 0, 0, 0, 18, 62, 254
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\userorders.ejs", "HTML", 0, 465, 0, 0, 0, 0, 0, 0, 3, 83, 551
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\viewDetails.ejs", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 1, 18, 88
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\viewproduct.ejs", "HTML", 0, 104, 0, 0, 0, 0, 0, 0, 22, 32, 158
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\views\user\wallet.ejs", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 9, 22, 101
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\workers\child.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 16, 79
"Total", "-", 20952, 5361, 5732, 86, 73562, 10, 18333, 9824, 9177, 16093, 159130
